单词,词性,释义,等级,真题原句,原句译文,上文,下文,题目情境,原题,原题译文,年份,套次,题型,篇目,出现次数
recommend,v.,"★推荐,建议；劝告",A 基础高频,"Researchers also found that students who ordered frequently consumed far more oil and salt than the amount recommended by health experts, and that they were less likely to eat vegetables regularly.",研究人员还发现，经常点外卖的学生摄入的油盐远远超过健康专家推荐的分量，而且他们不太可能经常吃蔬菜。,"The most common reasons given were convenience and the pressure of a tight schedule, rather than the taste of the food.",Several universities have responded by improving the quality of their canteens and by publishing the calorie information of each dish.,短文：外卖食品与大学生饮食习惯调查,3. What did the survey find about students' eating habits?,关于学生的饮食习惯，调查发现了什么？,2023年12月,第1套,听力,Passage Two,4
recorded,v.,★记录(record 的过去式/过去分词),A 基础高频,"Countries that abolished entrance fees recorded a sharp increase in visitors, and, crucially, the new visitors were not the usual audience.",取消门票的国家录得访客量急剧上升，而且关键是，新增的访客并不是原来那批老观众。,"A modest fee may seem harmless, but research consistently shows that it discourages precisely the visitors that public funding was intended to attract: families with low incomes, students, and people who have never visited a museum before and are unsure whether they would enjoy it.","Critics object that free admission reduces the income available for maintaining collections, and there is some truth in this.",仔细阅读：为什么博物馆应该免费开放,50. What is the author's main argument?,作者的主要论点是什么？,2023年6月,第1套,仔细阅读,Passage Two,4
recorded,v.,★记录(record 的过去式/过去分词),A 基础高频,"Cities that invested in separate tracks, rather than painted lines, recorded both a sharp increase in cycling and a decline in accidents.",那些投资建设独立车道而不只是画线的城市，骑车人数急剧上升，事故则有所下降。,Safety remains the main obstacle: surveys show that a large proportion of residents would cycle regularly if they felt protected from traffic.,,选词填空：自行车在许多城市重新流行,26. What has caused the renewed interest in bicycles?,交通拥堵和对健康的担忧带来了自行车的重新流行。,2022年12月,第1套,选词填空,The Return of the Bicycle,4
recorded,v.,★记录(record 的过去式/过去分词),A 基础高频,"Recorded lectures work reasonably well for students who are disciplined and have a quiet place to study, but they fail precisely where schools matter most: with children who need encouragement, structure and someone to notice when they have stopped understanding.",录播课对自律、又有安静地方学习的学生还算管用，但它恰恰在学校最关键的地方失灵了：那些需要鼓励、需要有人管束、需要有人发现他们已经听不懂的孩子。,"A few years later, the assessment is more modest.","Teachers report that attendance in online classes is easy to fake, since a student can log in and leave the room.",段落匹配：在线教育的遗产与局限,39. Recorded lessons allow students to learn at their own pace.,录播课让学生可以按自己的节奏学习。,2022年12月,第1套,长篇阅读,Online Education after the Pandemic,4
relationship,n.,★关系；关联；亲属关系,A 基础高频,What is less clear is the direction of the relationship.,不那么清楚的是因果方向。,The effect was modest but remarkably consistent across different cities and climates.,"People who already value exercise may choose to live near parks, which means the park itself may not be the cause of their better health.",仔细阅读：城市绿地对居民健康的影响,50. What have researchers found about green space?,关于绿地，研究人员发现了什么？,2023年12月,第1套,仔细阅读,Passage Two,4
relationship,n.,★关系；关联；亲属关系,A 基础高频,"Researchers were careful to note that the relationship is not simply one of cause and effect: people who are already depressed tend to stop exercising, so part of the difference may reflect the illness rather than the cure.",研究人员谨慎地指出，这并不只是简单的因果关系：已经抑郁的人往往会停止锻炼，所以部分差异也许反映的是疾病本身，而不是疗效。,"The effect appeared even among people who did nothing more than walk for half an hour a day, which suggests that the intensity of the activity matters less than its regularity.","Nevertheless, the association remained strong after the team had controlled for income, education and physical health.",短文：体育运动对心理健康的长期影响,3. What did the long-term study find?,这项长期研究发现了什么？,2022年12月,第1套,听力,Passage Two,4
relationship,n.,★关系；关联；亲属关系,A 基础高频,"Gift-giving is not merely a material offering, but also an expression of emotion and a vital bond that sustains interpersonal relationships.",赠送礼物不只是一份物质上的馈赠，也是一种情感的表达，是维系人际关系的一条重要纽带。,"In traditional Chinese culture, exchanging gifts among relatives and friends is an important etiquette in interpersonal communication.",A thoughtfully selected gift tailored to the recipient's preferences can often deepen mutual affection.,汉译英：中国传统文化中的互赠礼物与礼尚往来。中文原题四句、参考译文来源 L、M、N 三方互相印证，是本批数据中可信度最高的部分,,,2026年6月,第1套,翻译,礼尚往来,4
response,n.,"★回答；反应,响应；回应",A 基础高频,"Platforms have tried various responses, from warnings to removing content, but the most effective measure appears to be slower: teaching users to check the source before sharing.",平台尝试过各种应对手段，从贴警告到下架内容，但最有效的办法似乎更慢：教用户在转发前先核实来源。,"People share material that expresses emotion, and rumours tend to be written in emotional language, whereas corrections are sober and careful, which makes them far less attractive.","Studies suggest that even a brief pause, prompted by a simple question, reduces the number of false stories people forward.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,4
response,n.,"★回答；反应,响应；回应",A 基础高频,"The mechanism is straightforward: the body reacts to sudden sound as if it were a threat, and repeated activation of this response eventually damages the cardiovascular system.",机制并不复杂：身体把突然的声音当成威胁来反应，而这种反应被反复激活，最终会损害心血管系统。,"Long-term exposure to traffic noise has been linked to high blood pressure, disturbed sleep and, in children, slower progress in reading.",What makes the problem difficult to solve is that people adapt to noise without becoming immune to it.,选词填空：城市噪音对健康的影响,26. What is said about the noise level in big cities?,大城市的噪音水平常常超出被认为安全的范围。,2021年6月,第1套,选词填空,Noise in Cities,4
response,n.,"★回答；反应,响应；回应",A 基础高频,"Officials say the policy is a response to a sharp decline in the birth rate over the past decade, which has already forced several primary schools in rural districts to close.",官员说，这项政策是对过去十年出生率急剧下降的回应，出生率下降已经迫使农村地区的几所小学关闭。,"The local government has announced a package of measures intended to encourage couples to have children, including a monthly payment for each child under three and a longer period of paid leave for both parents.","Economists point out that financial support alone rarely changes such decisions, because the cost of raising a child involves far more than money: it includes housing, education and, above all, time.",新闻：某地为鼓励生育推出补贴政策,1. What is the report mainly about?,这则报道主要讲什么？,2022年12月,第1套,听力,News Report One,4
route,n.,★路线；途径；航线,A 基础高频,The route is not random.,这条路线不是随机的。,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.","Items that generate the highest profit are positioned at eye level, while cheaper alternatives are placed on the lowest shelves, where adults rarely look and children do.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,4
route,n.,★路线；途径；航线,A 基础高频,Convenience follows closely behind: a route that requires two changes and a long walk is rejected even by commuters who describe themselves as environmentally conscious.,紧随其后的是便利性：一条要换乘两次再走很长一段路的线路，连自称有环保意识的上班族都会拒绝。,"Reliability is the decisive factor, because a journey that may take twenty minutes or fifty cannot be planned around, and an unplannable journey is useless for anyone who must arrive at a fixed time.",This suggests that the money spent on advertising campaigns would be better spent on frequency.,仔细阅读：人们为什么不愿使用公共交通,50. What does the author argue?,作者的论点是什么？,2022年6月,第1套,仔细阅读,Passage Two,4
route,n.,★路线；途径；航线,A 基础高频,"The project cost relatively little, because the track and the bridges were already in place; workers mainly removed the waste and planted trees along the route.",这个项目花费相对较少，因为铁轨和桥梁本来就在，工人主要是清理垃圾并沿线路种树。,"A railway line that had been abandoned for more than twenty years has been converted into a public park, and local residents have welcomed the change.","City officials say the park now attracts thousands of visitors every weekend, and that small businesses near the entrances have reported a noticeable increase in income.",新闻：一座城市把废弃铁路改造成公园,1. What is the report mainly about?,这则报道主要讲什么？,2023年6月,第1套,听力,News Report One,4
screen,n./v.,★屏幕；屏风；帘；筛子；掩蔽；放映；遮蔽；筛查；甄别,A 基础高频,"A physician cannot examine an abdomen, feel a lump or observe how a patient walks down a corridor through a screen, and these physical signs are often what reveal a serious condition.",医生无法隔着屏幕按压腹部、摸到肿块，或观察病人如何走过走廊，而这些体征往往正是发现重病的线索。,Yet there are limits that no improvement in video quality will remove.,"There is also the question of who is excluded: elderly patients without a smartphone, and those whose hearing or sight makes a screen impractical, are precisely the people who need medical attention most.",仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,4
screen,n./v.,★屏幕；屏风；帘；筛子；掩蔽；放映；遮蔽；筛查；甄别,A 基础高频,"Psychologists suggest that users should treat online activity like any other part of their diet: a moderate amount, chosen deliberately, is far healthier than an endless stream of whatever appears on the screen.",心理学家建议，用户应当像对待饮食里的其他部分一样对待线上活动：有节制、经过选择的量，比屏幕上无休止涌来的东西要健康得多。,"The problem, then, is not the technology itself but the habits it encourages.",,仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,4
screen,n./v.,★屏幕；屏风；帘；筛子；掩蔽；放映；遮蔽；筛查；甄别,A 基础高频,Experiments with young children show that those who form letters by hand recognise them more quickly and remember them longer than children who only tap them on a screen.,针对幼儿的实验显示，用手把字母写出来的孩子，比只在屏幕上点选的孩子认得更快、记得更牢。,"Although keyboards have replaced pens in most offices, researchers argue that handwriting still has a valuable role in education.","The explanation seems to lie in the brain: writing by hand requires a sequence of precise movements, and this physical effort creates a stronger memory than simply choosing a letter from a list.",选词填空：手写是否还有价值,26. Why do some researchers study handwriting?,一些研究者研究手写，是为了看大脑对手写的反应。,2023年3月,第1套,选词填空,The Value of Handwriting,4
send,v.,★发送；寄；派遣,A 基础高频,"When a museum charges for admission, it sends a message about who the institution is for.",当一座博物馆收取门票时，它其实传递了一个信息：这个机构是为谁而设的。,,"A modest fee may seem harmless, but research consistently shows that it discourages precisely the visitors that public funding was intended to attract: families with low incomes, students, and people who have never visited a museum before and are unsure whether they would enjoy it.",仔细阅读：为什么博物馆应该免费开放,50. What is the author's main argument?,作者的主要论点是什么？,2023年6月,第1套,仔细阅读,Passage Two,4
send,v.,★发送；寄；派遣,A 基础高频,"Those who scroll passively through other people's posts tend to report lower satisfaction, while those who send messages, share opinions and maintain contact with friends they rarely meet seem to benefit.",被动地刷别人动态的人往往满意度更低，而那些发消息、分享观点、与难得见面的朋友保持联系的人似乎能从中受益。,What matters more appears to be how they use it.,Researchers describe this as the difference between consuming and connecting.,仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,4
send,v.,★发送；寄；派遣,A 基础高频,"Local companies were invited to take part, and several of them now send managers to give talks each semester.",当地企业受邀参与其中，现在已有几家公司每学期都派经理来做讲座。,"The courses cover practical skills that students rarely practise in class, including how to write a clear résumé, how to behave in an interview and how to assess an offer.",Employers who joined the programme said graduates were generally well prepared in theory but often lacked the ability to communicate with clients.,新闻：某大学为毕业生开设就业指导课程,1. What is the news mainly about?,这则新闻主要讲了什么？,2023年12月,第1套,听力,News Report One,4
serious,adj.,★严肃的；严重的；认真的,A 基础高频,"A physician cannot examine an abdomen, feel a lump or observe how a patient walks down a corridor through a screen, and these physical signs are often what reveal a serious condition.",医生无法隔着屏幕按压腹部、摸到肿块，或观察病人如何走过走廊，而这些体征往往正是发现重病的线索。,Yet there are limits that no improvement in video quality will remove.,"There is also the question of who is excluded: elderly patients without a smartphone, and those whose hearing or sight makes a screen impractical, are precisely the people who need medical attention most.",仔细阅读：远程医疗能否替代面对面就诊,50. What is the author's view on telemedicine?,作者对远程医疗的看法是什么？,2022年12月,第1套,仔细阅读,Passage Two,4
serious,adj.,★严肃的；严重的；认真的,A 基础高频,A more serious objection is that crowded galleries damage the experience of those who come to study a particular object in silence.,一个更严肃的反对意见是，拥挤的展厅会损害那些想安静研究某件展品的人的体验。,"Yet several museums have found that visitors who enter for free spend more in the shop and café, and that donations from satisfied visitors partly replace the lost ticket revenue.",This problem can be managed by reserving certain hours for research.,仔细阅读：为什么博物馆应该免费开放,50. What is the author's main argument?,作者的主要论点是什么？,2023年6月,第1套,仔细阅读,Passage Two,4
serious,adj.,★严肃的；严重的；认真的,A 基础高频,"Noise is usually treated as an annoyance rather than a health problem, but medical researchers now classify it as a serious risk.",噪音通常被当成烦人的东西而不是健康问题，但医学研究者现在把它归为一项严重风险。,,"Long-term exposure to traffic noise has been linked to high blood pressure, disturbed sleep and, in children, slower progress in reading.",选词填空：城市噪音对健康的影响,26. What is said about the noise level in big cities?,大城市的噪音水平常常超出被认为安全的范围。,2021年6月,第1套,选词填空,Noise in Cities,4
set,v./n.,★设置；放置；一套；确定,A 基础高频,"Some schools have responded by setting aside a fixed period each morning for silent reading, hoping that students will rediscover the pleasure of finishing a whole chapter without checking a phone.",一些学校的应对办法是每天早上留出固定的时间进行默读，希望学生能重新找回不碰手机、读完一整章的乐趣。,They argue that deep reading requires patience and that constant interruptions make it harder for the brain to process difficult ideas.,,选词填空：成年人阅读习惯调查（15选10 体裁）,26. What has remained stable over the past decade?,每月至少读一本书的人数保持稳定。,2024年6月,第1套,选词填空,Reading Habits,4
set,v./n.,★设置；放置；一套；确定,A 基础高频,"A single order typically arrives with a plastic container, a paper bag, a set of disposable chopsticks and several small packets of sauce, most of which are used for a few minutes and then thrown away.",一份订单通常送到一个塑料盒、一个纸袋、一套一次性筷子和几小包调料，其中大部分用上几分钟就被扔掉。,"The rapid growth of food delivery has created an enormous amount of packaging waste, and cities are struggling to deal with it.",Environmental groups estimate that the volume of this waste has increased several times over in the past five years.,段落匹配：外卖行业带来的包装垃圾问题,36. Food delivery has grown rapidly in recent years.,近年来外卖行业增长迅速。,2023年3月,第1套,长篇阅读,Food Delivery and Packaging Waste,4
set,v./n.,★设置；放置；一套；确定,A 基础高频,"Children receive red envelopes containing money, and fireworks are set off to drive away bad luck.",孩子们会收到装着钱的红包，人们燃放烟花爆竹以驱走厄运。,"Families gather for a reunion dinner on New Year's Eve, and the dishes served often carry symbolic meanings: fish, for example, suggests that there will be a surplus every year.","In recent years, however, some customs have changed.",汉译英：春节的传统与现代变化（参考译文）,,,2023年3月,第1套,翻译,春节,4
sharp,adj.,★锐利的；急剧的；敏锐的,A 基础高频,"The debate is usually presented as a choice between idealism and realism, but the evidence does not support such a sharp distinction.",这场争论通常被描述为理想主义与现实主义之间的选择，但证据并不支持如此泾渭分明的划分。,"Every year, families argue about the same question: should a student choose the subject they love, or the one that leads to a secure job?","Graduates who selected a subject mainly because of its employment prospects are not necessarily happier in their work, and a substantial proportion of them leave the field within five years.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,4
sharp,adj.,★锐利的；急剧的；敏锐的,A 基础高频,"Countries that abolished entrance fees recorded a sharp increase in visitors, and, crucially, the new visitors were not the usual audience.",取消门票的国家录得访客量急剧上升，而且关键是，新增的访客并不是原来那批老观众。,"A modest fee may seem harmless, but research consistently shows that it discourages precisely the visitors that public funding was intended to attract: families with low incomes, students, and people who have never visited a museum before and are unsure whether they would enjoy it.","Critics object that free admission reduces the income available for maintaining collections, and there is some truth in this.",仔细阅读：为什么博物馆应该免费开放,50. What is the author's main argument?,作者的主要论点是什么？,2023年6月,第1套,仔细阅读,Passage Two,4
sharp,adj.,★锐利的；急剧的；敏锐的,A 基础高频,"Cities that invested in separate tracks, rather than painted lines, recorded both a sharp increase in cycling and a decline in accidents.",那些投资建设独立车道而不只是画线的城市，骑车人数急剧上升，事故则有所下降。,Safety remains the main obstacle: surveys show that a large proportion of residents would cycle regularly if they felt protected from traffic.,,选词填空：自行车在许多城市重新流行,26. What has caused the renewed interest in bicycles?,交通拥堵和对健康的担忧带来了自行车的重新流行。,2022年12月,第1套,选词填空,The Return of the Bicycle,4
similar,adj.,"★相似的,类似的",A 基础高频,"In a study that compared districts with similar income levels, residents who lived within a ten-minute walk of a park reported fewer symptoms of anxiety and were more likely to exercise regularly.",在一项比较了收入水平相近街区的研究中，住在离公园步行十分钟范围内的居民报告说焦虑症状更少，也更可能经常锻炼。,"City planners have long suspected that parks are good for residents, and a growing body of research now supports that intuition.",The effect was modest but remarkably consistent across different cities and climates.,仔细阅读：城市绿地对居民健康的影响,50. What have researchers found about green space?,关于绿地，研究人员发现了什么？,2023年12月,第1套,仔细阅读,Passage Two,4
similar,adj.,"★相似的,类似的",A 基础高频,"Scientists, meanwhile, mean something precise: that under similar conditions in the past, it rained three times out of ten.",而科学家的意思很确切：在过去类似的气象条件下，十次里有三次下了雨。,"When a forecast states that there is a thirty percent chance of rain, many listeners interpret this as a promise that it will not rain, and feel cheated if it does.",The misunderstanding is not the fault of the audience alone.,仔细阅读：天气预报越来越准，人们却越来越不信,50. What is the passage mainly about?,这篇文章主要讲什么？,2023年3月,第1套,仔细阅读,Passage Two,4
similar,adj.,"★相似的,类似的",A 基础高频,"Engineering, which requires a similar mix of creative and technical skills, also has recruitment problems.",工程学同样面临招聘困难，它需要的是创意与技术能力相近的一种组合。,"The boys had to learn about budgeting and marketing, as well as designing their game.",,段落匹配：英国中学设计教育项目 Design Ventura 如何吸引青少年（答案 36-40 HCLAM，41-45 GKDJB；来源 A）,,,2025年6月,第1套,长篇阅读,Getting Young Minds into Design,4
smaller,adj.,★更小的,A 基础高频,"Researchers who tried to control for this factor still found a measurable benefit, though a smaller one.",试图控制这一因素的研究人员仍然发现了可测量的好处，只是幅度更小一些。,"People who already value exercise may choose to live near parks, which means the park itself may not be the cause of their better health.","There is also evidence that green space reduces the temperature of dense urban areas during heat waves, and that trees filter pollutants from the air.",仔细阅读：城市绿地对居民健康的影响,50. What have researchers found about green space?,关于绿地，研究人员发现了什么？,2023年12月,第1套,仔细阅读,Passage Two,4
smaller,adj.,★更小的,A 基础高频,Researchers have found that the most effective remedy is not a stricter schedule but a smaller first step: students who were asked merely to open the document and write one sentence frequently continued for an hour.,研究人员发现，最有效的补救办法不是更严格的日程，而是更小的第一步：那些只被要求打开文档写一句话的学生，往往会接着写上整整一个小时。,"Unfortunately, the relief they obtain is temporary, and the anxiety returns with greater force as the deadline approaches.","Another useful strategy is to forgive oneself for previous delays, since guilt tends to produce further delay rather than renewed effort.",选词填空：拖延行为的心理原因,26. What do psychologists say about procrastination?,心理学家认为拖延是回避不愉快情绪的一种方式。,2021年12月,第1套,选词填空,Procrastination,4
smaller,adj.,★更小的,A 基础高频,"The industry is now more stable, though far smaller than its promoters predicted.",这个行业如今更稳定了，尽管规模远小于推广者当初的预测。,"City governments eventually intervened, limiting the number of bicycles each company could operate and requiring them to repair what they had abandoned.",Economists draw a broader lesson: a business model that depends on unlimited growth will eventually meet the limits of the physical world.,段落匹配：共享单车与共享经济的发展与问题,36. Shared bicycles were introduced into many cities at once.,共享单车几乎同时进入了许多城市。,2023年12月,第1套,长篇阅读,The Sharing Economy,4
start,v./n.,★开始；启动；起点,A 基础高频,"Companies point out that the system allows anyone to start earning within a day, and that attempts to regulate the industry have reduced the number of available jobs.",企业指出，这套体系让任何人一天之内就能开始挣钱，而试图监管这个行业反而减少了可提供的岗位。,"If a rider is injured, or if the restaurant is slow, the loss falls on them alone.","Researchers who interviewed riders found a more complicated picture: most of them accepted the arrangement for a period, but very few expected to remain in it for years, and almost none had any form of insurance.",段落匹配：外卖骑手与零工经济的工作状况,36. Many riders are attracted by the freedom of choosing working hours.,很多骑手是被自由选择工作时间的权利吸引来的。,2021年6月,第1套,长篇阅读,Gig Work and Delivery Riders,4
start,v./n.,★开始；启动；起点,A 基础高频,"A secondary school has introduced a rule requiring students to leave their phones in a locked box at the start of each lesson, and teachers report a noticeable improvement.",一所中学推行了一项新规定，要求学生每节课开始前把手机放进一个上锁的盒子里，教师反映情况有明显改善。,,"According to the head teacher, the measure was not intended to punish anyone; it was introduced after staff observed that pupils were unable to concentrate for more than a few minutes.","新闻：一所中学试行""无手机课堂""",1. What is the news mainly about?,这则新闻主要讲什么？,2021年12月,第1套,听力,News Report One,4
start,v./n.,★开始；启动；起点,A 基础高频,"The library has also started a small reading group that meets on Friday evenings, and participants say the discussion helps them understand books they would have abandoned on their own.",图书馆还办了一个每周五晚上聚会的小型读书小组，参加者说讨论能帮他们读懂那些独自读就会放弃的书。,"Since the new schedule began, evening visits have grown steadily, and the majority of these visitors are young people preparing for examinations.","Funding, however, remains a problem, since electricity and staff wages have increased.",新闻：一个社区图书馆的夜间开放计划,1. What is the report mainly about?,这则报道主要讲什么？,2022年6月,第1套,听力,News Report One,4
streets,n.,★街道(street 的复数),A 基础高频,"Now images of waste in rivers and on city streets have made the issue personal, and governments in dozens of countries have responded with taxes, bans and recycling programmes.",如今河流和城市街道上的垃圾画面让这个问题变得切身，数十个国家的政府以征税、禁令和回收计划作出回应。,"For years the problem seemed remote, something that happened on distant beaches and in the stomachs of seabirds.",Yet behaviour has proved stubborn.,仔细阅读：塑料污染与消费者行为的改变,46. What does the author say about plastic pollution?,关于塑料污染，作者说了什么？,2024年6月,第1套,仔细阅读,Passage One,4
streets,n.,★街道(street 的复数),A 基础高频,"Bicycles are returning to city streets, and the reasons are not difficult to understand.",自行车正在回到城市街道上，原因并不难理解。,,"During the pandemic, public transport was regarded as risky, and millions of people who had never considered cycling bought a bicycle instead.",选词填空：自行车在许多城市重新流行,26. What has caused the renewed interest in bicycles?,交通拥堵和对健康的担忧带来了自行车的重新流行。,2022年12月,第1套,选词填空,The Return of the Bicycle,4
streets,n.,★街道(street 的复数),A 基础高频,"Bike-sharing schemes, in particular, expanded with extraordinary speed: companies placed millions of bicycles on the streets of cities that had no infrastructure for them, and for a while the pavements were blocked by machines nobody was using.",共享单车计划尤其以惊人的速度扩张：企业把数以百万计的自行车投放到根本没有相应基础设施的城市街道上，有一阵子人行道被没人使用的车子堵死。,"The sharing economy was once described as the future of consumption, and in a few years it has indeed transformed the way many people travel and rent accommodation.",The result was a classic case of over-investment.,段落匹配：共享单车与共享经济的发展与问题,36. Shared bicycles were introduced into many cities at once.,共享单车几乎同时进入了许多城市。,2023年12月,第1套,长篇阅读,The Sharing Economy,4
stress,n./v.,★压力；强调；重音；强调；重读；使紧张,A 基础高频,Residents who insist that they no longer notice the traffic often show the same physical signs of stress as those who complain.,那些坚称自己已经听不见车流的居民，往往表现出与抱怨者相同的压力体征。,What makes the problem difficult to solve is that people adapt to noise without becoming immune to it.,"City authorities have begun to measure sound levels in the same way they measure air quality, and a few of them have introduced quiet zones where vehicles are restricted.",选词填空：城市噪音对健康的影响,26. What is said about the noise level in big cities?,大城市的噪音水平常常超出被认为安全的范围。,2021年6月,第1套,选词填空,Noise in Cities,4
stress,n./v.,★压力；强调；重音；强调；重读；使紧张,A 基础高频,Students who planned their week in advance reported far less stress than those who simply reacted to whatever appeared each morning.,提前规划好一周的学生，压力明显小于那些每天早上只是被动应付眼前事情的学生。,"The problem, the report suggests, is not a shortage of time but the absence of a schedule.","Interestingly, the students who performed best were not the ones who studied the longest, but those who divided their work into short periods with breaks in between.",选词填空：大学生时间管理调查,26. What does the survey show about college students?,大学生常常高估自己一天能完成的事情。,2023年6月,第1套,选词填空,Time Management,4
stress,n./v.,★压力；强调；重音；强调；重读；使紧张,A 基础高频,"They tended to blame poor grades on stress or on the difficulty of the course, and they rarely connected their tiredness with the hours they spent on social media late at night.",他们往往把成绩差归咎于压力或者课程太难，很少把自己白天的疲惫和深夜刷社交媒体联系起来。,What surprised the researchers was that many students did not consider sleep a serious issue.,"The team suggests that universities should treat sleep as part of their health education, instead of assuming that students will adjust their schedules on their own.",短文：睡眠不足对大学生学习效率的影响,3. What does the speaker say about college students' sleep?,关于大学生的睡眠，讲话人说了什么？,2024年6月,第1套,听力,Passage Two,4
surprising,adj.,★令人惊讶的,A 基础高频,"It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.",而是谣言通常比真相更让人意外，而意外正是值得转发出去的东西。,The explanation is not that people are foolish.,"A story about an ordinary event produces no desire to share it, while a story that seems incredible demands an audience.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,4
surprising,adj.,★令人惊讶的,A 基础高频,A national survey of adult reading habits has produced some surprising results.,一项全国性的成年人阅读习惯调查得出了一些出人意料的结果。,,"Researchers found that the number of people who read at least one book a month has remained relatively stable over the past decade, but the way they read has changed dramatically.",选词填空：成年人阅读习惯调查（15选10 体裁）,26. What has remained stable over the past decade?,每月至少读一本书的人数保持稳定。,2024年6月,第1套,选词填空,Reading Habits,4
surprising,adj.,★令人惊讶的,A 基础高频,"It may sound surprising, but people who are supersensitive to coffee's bitter taste actually drink more of it, a new study finds.",一项新研究发现，对咖啡苦味特别敏感的人反而喝得更多，这听起来可能有些出人意料。,,,"选词填空：对咖啡苦味越敏感的人反而喝得越多；已公布正确项依次为 simply、opposite、reinforcement、heightened、convince、consumption、perceive、separately、addition、avoid（开篇文章与选项来源见下方""来源冲突说明""）",,,2026年6月,第1套,选词填空,Sensitivity to Coffee,4
then,adv.,★然后；那时；那么,A 基础高频,"They are the ones who found something they were willing to work at, and then made sure that other people could see the value of it.",他们是找到了自己愿意下功夫的事，又确保别人能看到这件事的价值的人。,The students who do best are rarely those who followed a formula.,,仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,4
then,adv.,★然后；那时；那么,A 基础高频,Cities invest heavily in public transport and then wonder why residents continue to drive.,城市在公共交通上投入巨资，随后又纳闷居民为什么还在开车。,,"The usual explanation is cost, but surveys consistently show something else.",仔细阅读：人们为什么不愿使用公共交通,50. What does the author argue?,作者的论点是什么？,2022年6月,第1套,仔细阅读,Passage Two,4
then,adv.,★然后；那时；那么,A 基础高频,"The problem, then, is not the technology itself but the habits it encourages.",所以问题不在技术本身，而在它所助长的习惯。,"Users who compare their ordinary lives with the carefully selected images posted by others often conclude that their own lives are inadequate, and this feeling can persist long after they close the application.","Psychologists suggest that users should treat online activity like any other part of their diet: a moderate amount, chosen deliberately, is far healthier than an endless stream of whatever appears on the screen.",仔细阅读：社交媒体是否真的让人更孤独,50. What is the main idea of the passage?,这篇文章的主旨是什么？,2024年6月,第1套,仔细阅读,Passage Two,4
things,n.,★东西；事情(thing 的复数),A 基础高频,"Music is slower at weekends, when shoppers are less hurried and therefore more likely to buy things they had not planned.",周末的音乐节奏更慢，因为那时购物者不赶时间，更容易买下原本没打算买的东西。,"Items that generate the highest profit are positioned at eye level, while cheaper alternatives are placed on the lowest shelves, where adults rarely look and children do.","Supermarkets defend these techniques as a service to customers, arguing that a logical arrangement helps people find what they need.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,4
things,n.,★东西；事情(thing 的复数),A 基础高频,Buying second-hand goods was once regarded as a sign that a family could not afford new things.,买二手货曾经被看作是一个家庭买不起新东西的标志。,,"Attitudes have changed with remarkable speed, and young consumers in particular now describe it as a sensible choice rather than a necessary one.",段落匹配：二手交易平台的兴起,39. Some buyers care about the environmental benefit of reusing things.,一些买家在意重复使用物品带来的环境好处。,2021年12月,第1套,长篇阅读,Second-hand Markets,4
things,n.,★东西；事情(thing 的复数),A 基础高频,Failure removes that comfort and forces us to look for the step where things went wrong.,失败拿走了这份安慰，逼我们去找究竟哪一步出了错。,"When everything goes well, we rarely examine our method, because the result seems to prove that the method was correct.","This is painful, but it is also honest.",写作：Learning from failure（参考范文）,,,2021年12月,第1套,写作,范文,4
thirty,num.,★三十,A 基础高频,"A large proportion of employees under thirty now say they prefer to remain with their current employer, even when they receive offers that pay more.",如今三十岁以下员工中有很大一部分表示，即使收到薪水更高的录用通知，他们也愿意留在现在的雇主这里。,Recent surveys suggest that the mood has shifted.,Their reasons are revealing.,仔细阅读：为什么年轻人越来越不愿换工作,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2023年3月,第1套,仔细阅读,Passage One,4
